SNIPPET;INDEX;CYCLES;POINTS;OBSTACLES
testrun-0-1;23;905337;188;6
testrun-0-1;24;927083;194;8
testrun-0-1;25;889053;187;8
testrun-0-1;26;703347;148;7
testrun-0-1;27;736025;145;8
testrun-0-1;28;763239;163;7
testrun-0-1;29;787616;166;5
testrun-0-1;30;883841;184;8
testrun-0-1;31;832218;160;6
testrun-1-0;0;848472;167;10
testrun-1-0;1;1158129;224;9
testrun-1-0;2;1134312;213;9
testrun-1-0;3;1149334;217;14
testrun-1-0;4;1039304;206;9
testrun-1-0;5;1015226;203;10
testrun-1-0;6;979955;203;8
testrun-1-0;7;777815;161;7
testrun-1-0;8;981122;203;7
testrun-1-0;9;1035902;210;8
testrun-1-0;10;948097;192;8
testrun-1-0;11;1124033;216;7
testrun-1-0;12;1150687;236;6
testrun-1-0;13;1128847;216;6
testrun-1-0;14;976502;193;7
testrun-1-0;15;1024258;196;6
testrun-1-0;16;1017263;197;6
testrun-1-0;17;889400;183;7
testrun-1-0;18;909839;183;8
testrun-1-0;19;1031240;183;13
testrun-1-0;20;1140175;226;7
testrun-1-0;21;1088825;226;7
testrun-1-0;22;1088796;207;7
testrun-1-0;23;964829;205;8
testrun-1-0;24;999726;215;9
testrun-1-0;25;1101467;218;9
testrun-1-0;26;1123335;222;8
testrun-1-0;27;1091089;212;8
testrun-1-0;28;932712;196;7
testrun-1-0;29;1119286;224;7
testrun-1-0;30;1077210;217;9
testrun-1-0;31;880347;181;7
testrun-1-0;32;847158;171;8
testrun-1-0;33;810574;159;7
testrun-1-0;34;829028;176;7
testrun-1-0;35;889512;178;8
testrun-1-0;36;947354;188;8
testrun-1-0;37;913478;181;9
testrun-1-0;38;872022;184;8
testrun-1-0;39;1027295;184;10
testrun-1-0;40;1128312;220;9
testrun-1-0;41;1175890;243;9
testrun-1-0;42;1211108;250;7
testrun-1-0;43;1155322;244;8
testrun-1-0;44;1151988;242;9
testrun-1-0;45;1127786;236;7
testrun-1-0;46;1137814;237;7
testrun-1-0;47;1256467;258;9
testrun-1-0;48;1168133;239;8
testrun-1-0;49;1073060;224;7
testrun-1-0;50;1131491;235;6
testrun-1-0;51;1169811;243;8
testrun-1-0;52;1004905;204;8
testrun-1-0;53;870841;182;7
testrun-1-0;54;870898;172;8
testrun-1-0;55;887543;180;8
testrun-1-0;56;817536;173;7
testrun-1-0;57;812790;171;9
testrun-1-0;58;804888;171;7
testrun-1-0;59;952858;186;9
testrun-1-0;60;902958;189;8
testrun-1-0;61;848948;178;8
testrun-1-0;62;1031498;210;8
testrun-1-0;63;1119086;232;9
testrun-1-0;64;959555;204;9
testrun-1-0;65;1110280;234;9
testrun-1-0;66;1171751;246;9
testrun-1-0;67;1195791;247;6
testrun-1-0;68;1204082;245;7
testrun-1-0;69;1039857;216;7
testrun-1-0;70;1112352;231;6
testrun-1-0;71;1098519;230;6
testrun-1-0;72;1157732;222;8
testrun-1-0;73;1022169;208;6
testrun-1-0;74;1060947;212;7
testrun-1-0;75;1061698;219;8
testrun-1-0;76;1076394;223;9
testrun-1-0;77;1060599;221;10
testrun-1-0;78;1103707;219;9
testrun-1-0;79;1111072;225;10
testrun-1-0;80;1106391;225;11
testrun-1-0;81;1177752;230;8
testrun-1-0;82;1113648;226;8
testrun-1-0;83;1009093;206;8
testrun-1-0;84;1030880;220;10
testrun-1-0;85;1024827;218;10
testrun-1-0;86;1075276;200;9
testrun-1-0;87;1160622;208;9
testrun-1-0;88;1154294;242;8
testrun-1-0;89;1065694;223;7
testrun-1-0;90;1168022;239;7
testrun-1-0;91;1097403;229;8
testrun-1-0;92;1158441;245;10
testrun-1-0;93;1133236;239;7
testrun-1-0;94;1104717;224;7
testrun-1-0;95;1158549;244;9
testrun-1-0;96;1103883;206;9
testrun-1-0;97;1011614;192;9
testrun-1-0;98;1044134;214;9
testrun-1-0;99;1046903;211;9
testrun-1-0;100;847922;180;9
testrun-1-0;101;1065892;204;8
testrun-1-0;102;859897;181;7
testrun-1-0;103;1128543;221;8
testrun-1-0;104;1003107;206;7
testrun-1-0;105;915515;189;7
testrun-1-0;106;814445;159;8
testrun-1-0;107;887578;185;8
testrun-1-0;108;819343;170;6
testrun-1-0;109;892273;183;9
testrun-1-0;110;908720;187;9
testrun-1-0;111;1082220;212;9
testrun-1-0;112;1125912;227;9
testrun-1-0;113;1003177;208;10
testrun-1-0;114;1101009;213;12
testrun-1-0;115;1058246;219;9
testrun-1-0;116;987934;209;8
testrun-1-0;117;1055206;207;8
testrun-1-0;118;993971;198;9
testrun-1-0;119;993409;194;9
testrun-1-0;120;987496;206;8
testrun-1-0;121;956345;200;8
testrun-1-0;122;1026208;200;7
testrun-2-0;0;1013852;180;8
testrun-2-0;1;864641;174;8
testrun-2-0;2;738175;151;10
testrun-2-0;3;936959;172;10
testrun-2-0;4;823771;169;8
testrun-2-0;5;884856;181;8
testrun-2-0;6;896975;186;7
testrun-2-0;7;1172686;246;9
testrun-2-0;8;1161372;244;8
testrun-2-0;9;1036906;220;9
testrun-2-0;10;1193285;251;9
testrun-2-0;11;1143358;239;7
testrun-2-0;12;1117796;234;8
testrun-2-0;13;1171857;246;9
testrun-2-0;14;1133005;237;8
testrun-2-0;15;957759;194;9
testrun-2-0;16;967903;193;10
testrun-2-0;17;982809;201;9
testrun-2-0;18;941589;186;8
testrun-2-0;19;1078893;209;8
testrun-2-0;20;895880;188;8
testrun-2-0;21;785593;160;9
testrun-2-0;22;988829;196;7
testrun-2-0;23;910349;183;8
testrun-2-0;24;1013683;195;6
testrun-2-0;25;1135102;219;6
testrun-2-0;26;1131168;232;6
testrun-2-0;27;1040695;200;8
testrun-2-0;28;1033702;210;8
testrun-2-0;29;1165688;233;9
testrun-2-0;30;1205363;243;9
testrun-2-0;31;1285696;247;9
testrun-2-0;32;1193820;236;10
testrun-2-0;33;1249450;259;9
testrun-2-0;34;1189904;250;9
testrun-2-0;35;1181233;238;9
testrun-2-0;36;1272585;265;8
testrun-2-0;37;1143014;232;7
testrun-2-0;38;1184579;248;10
testrun-2-0;39;1121391;237;9
testrun-2-0;40;1003357;201;8
testrun-2-0;41;1003489;201;9
testrun-2-0;42;967748;189;9
testrun-2-0;43;846900;173;10
testrun-2-0;44;793754;171;9
testrun-2-0;45;882046;179;7
testrun-2-0;46;903785;187;8
testrun-2-0;47;1041331;218;9
testrun-2-0;48;1174781;239;8
testrun-2-0;49;994858;212;8
testrun-2-0;50;1091751;222;9
testrun-2-0;51;1271443;248;7
testrun-2-0;52;1153571;242;7
testrun-2-0;53;1123476;236;8
testrun-2-0;54;1182679;246;7
testrun-2-0;55;1139887;222;6
testrun-2-0;56;1070110;218;7
testrun-2-0;57;1001462;209;6
testrun-2-0;58;1128176;231;8
testrun-2-0;59;1169428;234;8
testrun-2-0;60;1080780;222;6
testrun-2-0;61;1064561;210;9
testrun-2-0;62;922230;195;10
testrun-2-0;63;836051;159;7
testrun-2-0;64;929204;191;7
testrun-2-0;65;850619;172;7
testrun-2-0;66;847910;179;9
testrun-2-0;67;887534;171;7
testrun-2-0;68;848405;172;8
